Date,Rainfall (BMKG),Rainfall (GSMap)
10/1/2021,0.5,0.58
10/2/2021,0,18.67
10/3/2021,0.7,15.61
10/4/2021,0.5,0.27
10/5/2021,0,7.02
10/6/2021,1.8,0
10/7/2021,,0
10/8/2021,0,10.04
10/9/2021,25.5,2.14
10/10/2021,0,12.72
10/11/2021,0.5,2.41
10/12/2021,0,0
10/13/2021,,0
10/14/2021,1.9,9.4
10/15/2021,1.6,0.27
10/16/2021,,2.26
10/17/2021,0,52.7
10/18/2021,29.5,0.47
10/19/2021,0,0.27
10/20/2021,39.2,0
10/21/2021,0,2.48
10/22/2021,0,0
10/23/2021,0,0.11
10/24/2021,0,1.48
10/25/2021,0,1.63
10/26/2021,0.5,7.04
10/27/2021,,13.09
10/28/2021,14.1,0.79
10/29/2021,0,0
10/30/2021,5.6,13.95
10/31/2021,0,3.62
11/1/2021,8.3,71.54
11/2/2021,20.7,15.67
11/3/2021,0.8,2.37
11/4/2021,1.5,13.29
11/5/2021,8.8,3.29
11/6/2021,0.2,0
11/7/2021,0,28.15
11/8/2021,4.5,27.69
11/9/2021,2.4,0
11/10/2021,8.8,20.9
11/11/2021,6.9,66.59
11/12/2021,89.4,9.31
11/13/2021,0.7,8.52
11/14/2021,8.3,35.5
11/15/2021,16.5,6.77
11/16/2021,3.1,20.68
11/17/2021,1,5.14
11/18/2021,0,15.07
11/19/2021,0,30.73
11/20/2021,21.6,0.1
11/21/2021,0,0
11/22/2021,0,1.85
11/23/2021,,1.91
11/24/2021,,9.33
11/25/2021,0,18.61
11/26/2021,27,6
11/27/2021,9.4,17.89
11/28/2021,26.3,4.18
11/29/2021,15.4,1.8
11/30/2021,22.8,7.41
12/1/2021,12.7,0.19
12/2/2021,0.5,0
12/3/2021,0.3,3.82
12/4/2021,10.8,9.42
12/5/2021,31,2.25
12/6/2021,8.1,20.91
12/7/2021,19.8,16.83
12/8/2021,23.5,9.75
12/9/2021,3.5,11.32
12/10/2021,64.8,8.92
12/11/2021,8,10.1
12/12/2021,6.3,18.02
12/13/2021,13.9,2.26
12/14/2021,49.7,26.51
12/15/2021,5.4,12.9
12/16/2021,12.5,0
12/17/2021,0,0.75
12/18/2021,8.5,0.99
12/19/2021,20,21.64
12/20/2021,21,11.36
12/21/2021,11.5,0
12/22/2021,0,10.78
12/23/2021,3,4.87
12/24/2021,1.5,8.27
12/25/2021,6.4,1.41
12/26/2021,0,14.94
12/27/2021,11.4,5.19
12/28/2021,22.5,2.22
12/29/2021,1.9,13.73
12/30/2021,5.5,5.11
12/31/2021,5.9,17.67
1/1/2022,0,4.63
1/2/2022,0,4.93
1/3/2022,3,0.61
1/4/2022,0.5,0
1/5/2022,,5.87
1/6/2022,,11.79
1/7/2022,2.5,0
1/8/2022,38.6,0.64
1/9/2022,0,30.32
1/10/2022,17,7.87
1/11/2022,0,20.04
1/12/2022,50.9,2.27
1/13/2022,0,14.12
1/14/2022,13.3,24.58
1/15/2022,4.6,4.5
1/16/2022,24.7,0
1/17/2022,0.2,4.46
1/18/2022,15,0
1/19/2022,,37.6
1/20/2022,4.3,17.09
1/21/2022,22.4,10.37
1/22/2022,17.7,0
1/23/2022,,0
1/24/2022,0,0
1/25/2022,0,0
1/26/2022,,0
1/27/2022,,0
1/28/2022,0,0
1/29/2022,0,0
1/30/2022,,0
1/31/2022,,0
2/1/2022,37.8,6.16
2/2/2022,2,1.99
2/3/2022,3.6,24.96
2/4/2022,0.3,0
2/5/2022,1.4,8.42
2/6/2022,2,15.66
2/7/2022,66.7,13.04
2/8/2022,0.5,83.9
2/9/2022,79.1,1.67
2/10/2022,3,0
2/11/2022,0.2,9.41
2/12/2022,2.7,18.35
2/13/2022,0,1.58
2/14/2022,0,0
2/15/2022,0,9.73
2/16/2022,2.9,0
2/17/2022,0,11.6
2/18/2022,24.8,5.93
2/19/2022,6.5,1.96
2/20/2022,11.5,10.48
2/21/2022,0,0
2/22/2022,0,9.99
2/23/2022,17.6,3.92
2/24/2022,2.6,2.21
2/25/2022,,2.64
2/26/2022,1.5,0.52
2/27/2022,2,1.56
2/28/2022,1,2.75
3/1/2022,32.7,24.66
3/2/2022,22.5,14.26
3/3/2022,5.9,11.1
3/4/2022,41.9,1.49
3/5/2022,7.3,17.06
3/6/2022,9.8,2.06
3/7/2022,2.9,117.23
3/8/2022,86.3,0
3/9/2022,5.3,9.69
3/10/2022,20.1,11.13
3/11/2022,5.6,2.2
3/12/2022,2.5,1.4
3/13/2022,3.5,17.34
3/14/2022,16.4,2.57
3/15/2022,3.9,12.85
3/16/2022,6.5,4.83
3/17/2022,2,0
3/18/2022,0,19.54
3/19/2022,11.9,15.64
3/20/2022,52.2,15.75
3/21/2022,3.6,12.83
3/22/2022,38.2,18.16
3/23/2022,2.3,0
3/24/2022,0,8.17
3/25/2022,17,0.12
3/26/2022,,0
3/27/2022,1,0
3/28/2022,6,0
3/29/2022,0,0
3/30/2022,,2.01
3/31/2022,,0
4/1/2022,0,15.92
4/2/2022,0,0
4/3/2022,,0
4/4/2022,0.8,0.44
4/5/2022,12.5,9.92
4/6/2022,0.5,0
4/7/2022,,0.97
4/8/2022,7.9,24.19
4/9/2022,0,0.89
4/10/2022,4,1.21
4/11/2022,,0
4/12/2022,,0
4/13/2022,0,0
4/14/2022,0,1.44
4/15/2022,1,5.96
4/16/2022,13.4,0
4/17/2022,0,0
4/18/2022,0,0
4/19/2022,,70.94
4/20/2022,35,4.51
4/21/2022,0,27.6
4/22/2022,0,0
4/23/2022,0,0
4/24/2022,,0.84
4/25/2022,0.2,9.22
4/26/2022,14,35.59
4/27/2022,23.5,6.26
4/28/2022,0.8,0
4/29/2022,,0.29
4/30/2022,0,1.64
5/1/2022,20.5,11.91
5/2/2022,41.8,0.75
5/3/2022,0,4.61
5/4/2022,7.4,1.98
5/5/2022,12.9,0
5/6/2022,0.5,0.14
5/7/2022,33.8,0
5/8/2022,0,22.62
5/9/2022,0.5,15.93
5/10/2022,3.4,0.55
5/11/2022,0,0.68
5/12/2022,0,40.42
5/13/2022,33.4,16.06
5/14/2022,0,4.41
5/15/2022,0,1.68
5/16/2022,2.7,8.05
5/17/2022,2.7,0
5/18/2022,0,13.89
5/19/2022,1.5,31.62
5/20/2022,24.2,20.19
5/21/2022,12.5,0
5/22/2022,1,0.12
5/23/2022,3.1,1.67
5/24/2022,0,0
5/25/2022,,1.7
5/26/2022,8.2,0
5/27/2022,0,1.65
5/28/2022,,0.77
5/29/2022,9.7,0
5/30/2022,0,0
5/31/2022,0,5.43
