Date,Rainfall (BMKG),Rainfall (GSMap)
10/1/2021,0.2,0.43
10/2/2021,0,14.19
10/3/2021,0.2,18.28
10/4/2021,0,0.28
10/5/2021,,7.75
10/6/2021,0,0
10/7/2021,,0
10/8/2021,0,6.21
10/9/2021,12,1.61
10/10/2021,0,13.51
10/11/2021,8,2.39
10/12/2021,0.5,0.64
10/13/2021,0,0
10/14/2021,22.5,6.98
10/15/2021,,0
10/16/2021,0.3,2.45
10/17/2021,0,48.99
10/18/2021,44.7,0
10/19/2021,0,0.47
10/20/2021,16,0
10/21/2021,0,4.85
10/22/2021,1.5,0
10/23/2021,0,0
10/24/2021,11.5,0.32
10/25/2021,,2.14
10/26/2021,21.3,3.7
10/27/2021,,17.91
10/28/2021,3.2,33.7
10/29/2021,1.2,0
10/30/2021,1.7,13.7
10/31/2021,0,30.88
11/1/2021,32.1,70.23
11/2/2021,48.2,26.37
11/3/2021,0,3.44
11/4/2021,0.8,14.18
11/5/2021,23.5,1.27
11/6/2021,0.2,0
11/7/2021,0,27.22
11/8/2021,4.9,24.75
11/9/2021,1.7,6.49
11/10/2021,0.7,23.21
11/11/2021,1.6,61.97
11/12/2021,43.7,9.96
11/13/2021,8.8,7.73
11/14/2021,3.9,37.71
11/15/2021,6.9,12.77
11/16/2021,4.5,22.76
11/17/2021,0.2,4.35
11/18/2021,0,13.63
11/19/2021,,26.83
11/20/2021,22.4,0
11/21/2021,0,0
11/22/2021,0,3.21
11/23/2021,,6.53
11/24/2021,0,3.07
11/25/2021,0,18.32
11/26/2021,16.4,3.04
11/27/2021,0.5,9.66
11/28/2021,49.4,4.95
11/29/2021,7.5,3.87
11/30/2021,6,5.63
12/1/2021,6.5,0.21
12/2/2021,0.1,0
12/3/2021,,5.39
12/4/2021,21.1,22.58
12/5/2021,53.6,2.21
12/6/2021,1.7,15.82
12/7/2021,13.6,13.4
12/8/2021,,10.97
12/9/2021,11.5,12.52
12/10/2021,29.1,7.65
12/11/2021,1.3,3.62
12/12/2021,2.5,19.82
12/13/2021,9.2,0.18
12/14/2021,75,23.18
12/15/2021,1.5,8.11
12/16/2021,17.8,0
12/17/2021,9,21.02
12/18/2021,14,2.37
12/19/2021,,16.42
12/20/2021,2.9,19.54
12/21/2021,,0
12/22/2021,0,7.69
12/23/2021,4.5,7.52
12/24/2021,3.8,26.9
12/25/2021,4.7,1.97
12/26/2021,,14.4
12/27/2021,17.6,5.1
12/28/2021,8.5,3.06
12/29/2021,2.5,15.04
12/30/2021,13.6,8.86
12/31/2021,2,14.19
1/1/2022,5.7,6.6
1/2/2022,1,7.96
1/3/2022,28.6,6.68
1/4/2022,6.2,0
1/5/2022,,0
1/6/2022,0,10.17
1/7/2022,1,0
1/8/2022,47.4,4.23
1/9/2022,0.5,30.95
1/10/2022,12,7.99
1/11/2022,0.2,22.85
1/12/2022,110.2,0
1/13/2022,0.2,13.38
1/14/2022,3.5,27.93
1/15/2022,5,5.49
1/16/2022,29.6,0
1/17/2022,,4.91
1/18/2022,17,0
1/19/2022,0,34.04
1/20/2022,15.2,16.95
1/21/2022,32,12.04
1/22/2022,17.6,0
1/23/2022,,0
1/24/2022,,0
1/25/2022,,0
1/26/2022,,0
1/27/2022,,0
1/28/2022,,0.57
1/29/2022,4,0
1/30/2022,,0
1/31/2022,0,0
2/1/2022,0,5.07
2/2/2022,60.1,22
2/3/2022,8.7,24.41
2/4/2022,,0
2/5/2022,0.1,9.28
2/6/2022,8,16.73
2/7/2022,85.8,16.98
2/8/2022,0.1,55.98
2/9/2022,12.2,0
2/10/2022,3.3,0
2/11/2022,0,7.75
2/12/2022,1.3,17.9
2/13/2022,0,1.84
2/14/2022,0,0
2/15/2022,0,10.02
2/16/2022,0.5,0
2/17/2022,0,12.81
2/18/2022,31.9,5.61
2/19/2022,7.4,3.65
2/20/2022,6.2,4.63
2/21/2022,,0
2/22/2022,,5.33
2/23/2022,15,0
2/24/2022,2.1,0
2/25/2022,0,0.59
2/26/2022,7.4,0
2/27/2022,14.5,0
2/28/2022,0.1,3.84
3/1/2022,39.3,28.53
3/2/2022,32,14.02
3/3/2022,3.5,15.24
3/4/2022,60.1,1.54
3/5/2022,15.4,20.86
3/6/2022,7.9,5.6
3/7/2022,13.6,74.15
3/8/2022,63.2,0
3/9/2022,,15.12
3/10/2022,14.4,11.73
3/11/2022,5.7,0.88
3/12/2022,0.4,3.99
3/13/2022,5.1,15.12
3/14/2022,25.9,1.5
3/15/2022,0.8,13.61
3/16/2022,,3.55
3/17/2022,2.2,0
3/18/2022,0,10.62
3/19/2022,41.2,31.77
3/20/2022,25.9,18.83
3/21/2022,8.9,16.51
3/22/2022,37,15.8
3/23/2022,1.8,0
3/24/2022,,6.93
3/25/2022,24.7,0.11
3/26/2022,,0
3/27/2022,,5.24
3/28/2022,0.3,0.42
3/29/2022,0.1,0
3/30/2022,,3.18
3/31/2022,,0
4/1/2022,0,15.09
4/2/2022,0,0
4/3/2022,,0
4/4/2022,9.9,0.54
4/5/2022,26.9,6.7
4/6/2022,0,0
4/7/2022,,2.03
4/8/2022,4.3,14.72
4/9/2022,14,0.16
4/10/2022,24.9,2.78
4/11/2022,0,0
4/12/2022,,0
4/13/2022,,0
4/14/2022,,0.78
4/15/2022,,8.71
4/16/2022,7.2,0
4/17/2022,0,0
4/18/2022,,0
4/19/2022,,86.14
4/20/2022,20.1,1.26
4/21/2022,0,34.87
4/22/2022,0.3,0
4/23/2022,,0
4/24/2022,11.1,0
4/25/2022,1.5,8.75
4/26/2022,2.3,48.45
4/27/2022,24.7,7.5
4/28/2022,0,0
4/29/2022,0,2.9
4/30/2022,,0.75
5/1/2022,0.2,26.74
5/2/2022,32,0
5/3/2022,,4.08
5/4/2022,21.6,5.15
5/5/2022,,0
5/6/2022,0.3,0
5/7/2022,0,9.08
5/8/2022,4.8,29.26
5/9/2022,0,14.63
5/10/2022,2.2,0.25
5/11/2022,0,0
5/12/2022,,43.38
5/13/2022,20.3,11.98
5/14/2022,8.2,5.81
5/15/2022,0.1,4.65
5/16/2022,2,7.18
5/17/2022,3.2,0.11
5/18/2022,0,12.02
5/19/2022,0,38.77
5/20/2022,7,16.51
5/21/2022,14.2,0
5/22/2022,2,0.45
5/23/2022,33.2,2.1
5/24/2022,0,0
5/25/2022,0,3.43
5/26/2022,8.7,0
5/27/2022,0.3,0.85
5/28/2022,,1.96
5/29/2022,3.8,0.74
5/30/2022,0,0
5/31/2022,,0
