Date(yyyymmdd),Rain[mm/day]
20210830,6.34
20210831,8.65
20210901,0.0
20210902,33.41
20210903,26.0
20210904,5.48
20210905,3.89
20210906,7.51
20210907,3.53
20210908,0.16
20210909,2.79
20210910,0.76
20210911,23.77
20210912,4.73
20210913,2.86
20210914,7.68
20210915,35.13
20210916,17.65
20210917,2.21
20210918,0.0
20210919,0.0
20210920,0.0
20210921,31.85
20210922,1.63
20210923,0.88
20210924,8.16
20210925,0.0
20210926,0.68
20210927,0.0
20210928,0.11
20210929,9.34
20210930,19.18
20211001,0.43
20211002,14.19
20211003,18.28
20211004,0.28
20211005,7.75
20211006,0.0
20211007,0.0
20211008,6.21
20211009,1.61
20211010,13.51
20211011,2.39
20211012,0.64
20211013,0.0
20211014,6.98
20211015,0.0
20211016,2.45
20211017,48.99
20211018,0.0
20211019,0.47
20211020,0.0
20211021,4.85
20211022,0.0
20211023,0.0
20211024,0.32
20211025,2.14
20211026,3.7
20211027,17.91
20211028,33.7
20211029,0.0
20211030,13.7
20211031,30.88
20211101,70.23
20211102,26.37
20211103,3.44
20211104,14.18
20211105,1.27
20211106,0.0
20211107,27.22
20211108,24.75
20211109,6.49
20211110,23.21
20211111,61.97
20211112,9.96
20211113,7.73
20211114,37.71
20211115,12.77
20211116,22.76
20211117,4.35
20211118,13.63
20211119,26.83
20211120,0.0
20211121,0.0
20211122,3.21
20211123,6.53
20211124,3.07
20211125,18.32
20211126,3.04
20211127,9.66
20211128,4.95
20211129,3.87
20211130,5.63
20211201,0.21
20211202,0.0
20211203,5.39
20211204,22.58
20211205,2.21
20211206,15.82
20211207,13.4
20211208,10.97
20211209,12.52
20211210,7.65
20211211,3.62
20211212,19.82
20211213,0.18
20211214,23.18
20211215,8.11
20211216,0.0
20211217,21.02
20211218,2.37
20211219,16.42
20211220,19.54
20211221,0.0
20211222,7.69
20211223,7.52
20211224,26.9
20211225,1.97
20211226,14.4
20211227,5.1
20211228,3.06
20211229,15.04
20211230,8.86
20211231,14.19
20220101,6.6
20220102,7.96
20220103,6.68
20220104,0.0
20220105,0.0
20220106,10.17
20220107,0.0
20220108,4.23
20220109,30.95
20220110,7.99
20220111,22.85
20220112,0.0
20220113,13.38
20220114,27.93
20220115,5.49
20220116,0.0
20220117,4.91
20220118,0.0
20220119,34.04
20220120,16.95
20220121,12.04
20220122,0.0
20220123,0.0
20220124,0.0
20220125,0.0
20220126,0.0
20220127,0.0
20220128,0.57
20220129,0.0
20220130,0.0
20220131,0.0
20220201,5.07
20220202,22.0
20220203,24.41
20220204,0.0
20220205,9.28
20220206,16.73
20220207,16.98
20220208,55.98
20220209,0.0
20220210,0.0
20220211,7.75
20220212,17.9
20220213,1.84
20220214,0.0
20220215,10.02
20220216,0.0
20220217,12.81
20220218,5.61
20220219,3.65
20220220,4.63
20220221,0.0
20220222,5.33
20220223,0.0
20220224,0.0
20220225,0.59
20220226,0.0
20220227,0.0
20220228,3.84
20220301,28.53
20220302,14.02
20220303,15.24
20220304,1.54
20220305,20.86
20220306,5.6
20220307,74.15
20220308,0.0
20220309,15.12
20220310,11.73
20220311,0.88
20220312,3.99
20220313,15.12
20220314,1.5
20220315,13.61
20220316,3.55
20220317,0.0
20220318,10.62
20220319,31.77
20220320,18.83
20220321,16.51
20220322,15.8
20220323,0.0
20220324,6.93
20220325,0.11
20220326,0.0
20220327,5.24
20220328,0.42
20220329,0.0
20220330,3.18
20220331,0.0
20220401,15.09
20220402,0.0
20220403,0.0
20220404,0.54
20220405,6.7
20220406,0.0
20220407,2.03
20220408,14.72
20220409,0.16
20220410,2.78
20220411,0.0
20220412,0.0
20220413,0.0
20220414,0.78
20220415,8.71
20220416,0.0
20220417,0.0
20220418,0.0
20220419,86.14
20220420,1.26
20220421,34.87
20220422,0.0
20220423,0.0
20220424,0.0
20220425,8.75
20220426,48.45
20220427,7.5
20220428,0.0
20220429,2.9
20220430,0.75
20220501,26.74
20220502,0.0
20220503,4.08
20220504,5.15
20220505,0.0
20220506,0.0
20220507,9.08
20220508,29.26
20220509,14.63
20220510,0.25
20220511,0.0
20220512,43.38
20220513,11.98
20220514,5.81
20220515,4.65
20220516,7.18
20220517,0.11
20220518,12.02
20220519,38.77
20220520,16.51
20220521,0.0
20220522,0.45
20220523,2.1
20220524,0.0
20220525,3.43
20220526,0.0
20220527,0.85
20220528,1.96
20220529,0.74
20220530,0.0
20220531,0.0
