Date(yyyymmdd),Rain[mm/day]
20220330, 3.18
20220331, 0.00
20220401, 15.09
20220402, 0.00
20220403, 0.00
20220404, 0.54
20220405, 6.70
20220406, 0.00
20220407, 2.03
20220408, 14.72
20220409, 0.16
20220410, 2.78
20220411, 0.00
20220412, 0.00
20220413, 0.00
20220414, 0.78
20220415, 8.71
20220416, 0.00
20220417, 0.00
20220418, 0.00
20220419, 86.14
20220420, 1.26
20220421, 34.87
20220422, 0.00
20220423, 0.00
20220424, 0.00
20220425, 8.75
20220426, 48.45
20220427, 7.50
20220428, 0.00
20220429, 2.90
20220430, 0.75
20220501, 26.74
20220502, 0.00
20220503, 4.08
20220504, 5.15
20220505, 0.00
20220506, 0.00
20220507, 9.08
20220508, 29.26
20220509, 14.63
20220510, 0.25
20220511, 0.00
20220512, 43.38
20220513, 11.98
20220514, 5.81
20220515, 4.65
20220516, 7.18
20220517, 0.11
20220518, 12.02
20220519, 38.77
20220520, 16.51
20220521, 0.00
20220522, 0.45
20220523, 2.10
20220524, 0.00
20220525, 3.43
20220526, 0.00
20220527, 0.85
20220528, 1.96
20220529, 0.74
20220530, 0.00
20220531, 0.00
